country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Gibraltar,GIB,2022-02-03,,,,,81.0,,,,2404.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Gibraltar,https://twitter.com/GibraltarGov/status/1507008369005015050
Denmark,DNK,2021-05-24,3019011.0,1859832.0,1159014.0,33123.0,46196.0,51.93,31.99,19.94,7947.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
South Africa,ZAF,2022-01-19,29169144.0,19293345.0,16259453.0,84171.0,66161.0,48.58,32.13,27.08,1102.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
Guinea-Bissau,GNB,2022-01-16,,,,,140.0,,,,69.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Guernsey,GGY,2021-12-16,,,,,696.0,,,,10981.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Taiwan,TWN,2021-05-19,264589.0,264589.0,,19581.0,19274.0,1.11,1.11,,808.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Sudan,SDN,2022-02-22,,,,,21002.0,,,,468.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
Vanuatu,VUT,2021-09-30,,,,,1183.0,,,,3762.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Czechia,CZE,2022-01-16,16503507.0,6892459.0,6736349.0,12851.0,67139.0,153.89,64.27,62.81,6260.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Australia,AUS,2021-04-23,1914047.0,1682424.0,231623.0,58446.0,62784.0,7.42,6.52,0.9,2435.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Gambia,GMB,2022-01-11,,,,,2299.0,,,,924.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Slovenia,SVN,2021-08-07,1738512.0,963534.0,861323.0,934.0,5291.0,83.63,46.35,41.44,2545.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/sl/stats
United States,USA,2021-04-05,186086055.0,116648631.0,71385712.0,3105418.0,3164090.0,56.05,35.13,21.5,9530.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2
Oman,OMN,2021-07-27,,,,,24964.0,,,,4779.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
South Korea,KOR,2021-05-29,7718966.0,5509819.0,2233361.0,175618.0,288243.0,15.05,10.74,4.35,5618.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
Mali,MLI,2021-07-02,,,,,970.0,,,,47.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Argentina,ARG,2021-12-24,76136015.0,38451934.0,32868199.0,12773.0,217398.0,166.94,84.31,72.07,4767.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://covidstats.com.ar/
Sudan,SDN,2021-08-16,,,,,20134.0,,,,448.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
Nepal,NPL,2022-03-12,38699896.0,21773697.0,18399451.0,101864.0,145287.0,130.41,73.37,62.0,4896.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.mohp.gov.np/situation-report
Bhutan,BTN,2021-11-04,,,,,2815.0,,,,3609.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Burundi,BDI,2022-01-12,,,,,41.0,,,,3.0,Sinopharm/Beijing,World Health Organization,https://covid19.who.int/
Mozambique,MOZ,2021-10-25,,,,,81395.0,,,,2531.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Sao Tome and Principe,STP,2021-05-28,,,,,441.0,,,,1974.0,Oxford/AstraZeneca,World Health Organization,https://africacdc.org/covid-19-vaccination/
Thailand,THA,2021-05-31,3664859.0,2539491.0,1125368.0,54977.0,91507.0,5.24,3.63,1.61,1308.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/covid19-dashboard/
Togo,TGO,2021-04-16,,,,,8400.0,,,,991.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Germany,DEU,2021-05-17,40999613.0,31389371.0,9682669.0,557089.0,705875.0,48.87,37.41,11.54,8413.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Northern Ireland,OWID_NIR,2021-05-09,1470135.0,976582.0,493553.0,9710.0,13606.0,77.54,51.51,26.03,7176.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Grenada,GRD,2021-10-26,,,,,295.0,,,,2610.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Qatar,QAT,2021-02-19,,,,,5245.0,,,,1790.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Benin,BEN,2022-01-09,,,,,16300.0,,,,1309.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.who.int/
Bahamas,BHS,2021-05-06,,,,,859.0,,,,2164.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Antigua and Barbuda,ATG,2022-01-09,,,,,68.0,,,,689.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag
Kenya,KEN,2021-03-06,,,,,667.0,,,,12.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2022/03/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-19TH-MARCH-2022.pdf
Guatemala,GTM,2021-07-07,1002959.0,827180.0,175779.0,10476.0,7726.0,5.5,4.53,0.96,423.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Aruba,ABW,2021-05-30,,,,,777.0,,,,7248.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Afghanistan,AFG,2022-03-07,,,,,9317.0,,,,234.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Ghana,GHA,2021-08-30,,,,,5590.0,,,,176.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
China,CHN,2022-03-26,3251412000.0,,,3788000.0,4077714.0,225.13,,,2823.0,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202203/d81d339daf694f97952f10d9d8604143.shtml
Tajikistan,TJK,2021-11-07,4852034.0,2714911.0,2137123.0,,2980.0,49.77,27.85,21.92,306.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Belize,BLZ,2021-12-13,,,,,678.0,,,,1674.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Turks and Caicos Islands,TCA,2021-12-23,,,,,122.0,,,,3110.0,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/
Saint Vincent and the Grenadines,VCT,2021-05-12,16726.0,,,,200.0,15.03,,,1797.0,Oxford/AstraZeneca,Ministry of Health,https://web.facebook.com/SVGHEALTH/posts/437021804887233
Belize,BLZ,2022-01-15,,,,,803.0,,,,1983.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
France,FRA,2021-05-18,30855925.0,21705358.0,9300255.0,614738.0,502939.0,45.77,32.19,13.79,7460.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Panama,PAN,2021-07-11,1647147.0,1050609.0,596538.0,,15668.0,37.59,23.98,13.61,3576.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Mauritius,MUS,2021-01-26,,,,,30.0,,,,24.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Turkey,TUR,2021-06-19,41194790.0,26824612.0,14370178.0,575638.0,1109518.0,48.44,31.54,16.9,13047.0,"Pfizer/BioNTech, Sinovac, Turkovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Honduras,HND,2021-04-17,,,,,1572.0,,,,156.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/
Greenland,GRL,2021-03-02,,,,,82.0,,,,1442.0,Moderna,Government of Greenland,https://corona.nun.gl
United Kingdom,GBR,2021-02-14,15839781.0,15300151.0,539630.0,239877.0,433313.0,23.22,22.43,0.79,6353.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Saudi Arabia,SAU,2021-02-07,,,,,350.0,,,,10.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.who.int/
Dominican Republic,DOM,2021-05-03,2052662.0,1251674.0,800988.0,63278.0,36474.0,18.74,11.43,7.31,3330.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
Jordan,JOR,2021-12-05,7950684.0,4174421.0,3776263.0,21959.0,13860.0,77.42,40.65,36.77,1350.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Niger,NER,2021-11-23,,,,,614.0,,,,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Iran,IRN,2021-08-31,,,,,609824.0,,,,7172.0,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",World Health Organization,https://irangov.ir/detail/383414
Syria,SYR,2021-12-16,,,,,19325.0,,,,1057.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Andorra,AND,2021-06-16,,,,,1479.0,,,,19120.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Barbados,BRB,2021-07-06,167398.0,95695.0,71703.0,,169.0,58.18,33.26,24.92,587.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://gisbarbados.gov.bb/blog/covid-19-update-for-monday-march-28/
French Polynesia,PYF,2021-11-10,,,,,592.0,,,,2095.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
South Sudan,SSD,2022-02-26,,,,,2848.0,,,,250.0,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Trinidad and Tobago,TTO,2021-10-04,1092242.0,602936.0,509672.0,2433.0,6447.0,77.83,42.96,36.32,4594.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query
Liberia,LBR,2021-10-02,,,,,114.0,,,,22.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Niger,NER,2021-07-08,,,,,3693.0,,,,147.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Mexico,MEX,2022-01-24,160816753.0,83329994.0,76560077.0,336124.0,666554.0,123.46,63.97,58.77,5117.0,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/712810/2022.03.29_17h00_ComunicadoTecnicoDiario_Covid19__1_.pdf
Greece,GRC,2022-01-01,17470021.0,7469558.0,7041308.0,524.0,65701.0,168.45,72.03,67.9,6335.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Wallis and Futuna,WLF,2021-11-02,,,,,30.0,,,,2704.0,Moderna,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Greenland,GRL,2021-08-13,67849.0,38165.0,29684.0,,465.0,119.31,67.11,52.2,8177.0,Moderna,Government of Greenland,https://corona.nun.gl
Switzerland,CHE,2021-09-30,10484431.0,5557885.0,5084854.0,28045.0,25040.0,120.3,63.77,58.34,2873.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH
Bahamas,BHS,2021-12-06,,,,,712.0,,,,1794.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Eswatini,SWZ,2021-05-14,,,,,47.0,,,,40.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,2021-12-28,,,,,171.0,,,,2572.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Poland,POL,2021-02-02,1342435.0,1053245.0,289190.0,110719.0,62425.0,3.55,2.79,0.77,1652.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Taiwan,TWN,2021-09-21,13405357.0,11689760.0,1715597.0,,128671.0,56.2,49.0,7.19,5394.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Ireland,IRL,2021-02-01,216278.0,157644.0,58636.0,9346.0,8719.0,4.34,3.16,1.18,1750.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Austria,AUT,2021-04-08,,,,,48129.0,,,,5322.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Singapore,SGP,2021-11-15,10361292.0,4697027.0,4502457.0,23392.0,26465.0,189.99,86.13,82.56,4853.0,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Singapore,https://data.gov.sg/dataset/covid-19-vaccination
Lebanon,LBN,2022-01-22,4782913.0,2411708.0,1963273.0,1515.0,13617.0,70.66,35.63,29.0,2012.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Azerbaijan,AZE,2022-01-05,11373965.0,5171942.0,4680213.0,27417.0,12566.0,111.25,50.59,45.78,1229.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
Palestine,PSE,2021-05-19,472617.0,276464.0,196153.0,1200.0,842.0,9.05,5.29,3.76,161.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
South Africa,ZAF,2021-06-18,2137071.0,2137071.0,,67725.0,52808.0,3.56,3.56,,880.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
Iceland,ISL,2021-06-08,,,,,3409.0,,,,9244.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
Sudan,SDN,2021-11-09,,,,,33000.0,,,,735.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-11-14,,,,,21027.0,,,,471.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
French Polynesia,PYF,2021-05-21,,,,,972.0,,,,3440.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Pakistan,PAK,2022-03-07,217444622.0,127697360.0,100463513.0,,397642.0,96.56,56.7,44.61,1766.0,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Lesotho,LSO,2021-04-21,,,,,556.0,,,,258.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Lithuania,LTU,2021-10-01,3235852.0,1752237.0,1651774.0,8789.0,5935.0,120.3,65.14,61.41,2206.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Pitcairn,PCN,2021-08-17,,,,,0.0,,,,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Maldives,MDV,2021-12-06,777331.0,396004.0,364814.0,833.0,930.0,142.99,72.85,67.11,1711.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1503053275741913088
Central African Republic,CAF,2021-11-20,,,,,145.0,,,,29.0,"Covaxin, Oxford/AstraZeneca",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Somalia,SOM,2021-11-02,,,,,3171.0,,,,194.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
Faeroe Islands,FRO,2021-08-01,,,,,330.0,,,,6727.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Armenia,ARM,2021-12-11,,,,,16016.0,,,,5396.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Yemen,YEM,2022-02-28,,,,,719.0,,,,24.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/
French Polynesia,PYF,2021-07-22,,,,,927.0,,,,3281.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Colombia,COL,2021-06-07,11733523.0,8262316.0,3471207.0,118258.0,234486.0,22.89,16.12,6.77,4574.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Qatar,QAT,2022-03-12,6474303.0,,,,11020.0,220.93,,,3760.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Norway,NOR,2021-05-01,1800988.0,1410456.0,390503.0,2019.0,32315.0,32.95,25.81,7.14,5912.0,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data
Guernsey,GGY,2021-09-20,101586.0,,,,58.0,160.27,,,915.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Equatorial Guinea,GNQ,2022-02-09,,,,,202.0,,,,139.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
Faeroe Islands,FRO,2021-08-28,,,,,99.0,,,,2018.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Algeria,DZA,2021-06-02,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-07-18,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Singapore,SGP,2021-09-17,8933928.0,4583825.0,4333422.0,18995.0,10765.0,163.82,84.05,79.46,1974.0,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Singapore,https://data.gov.sg/dataset/covid-19-vaccination
Kosovo,OWID_KOS,2021-09-14,1066947.0,697914.0,369033.0,20148.0,18349.0,59.87,39.16,20.71,10296.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://msh.rks-gov.net/sq/statistikat-covid-19/
Equatorial Guinea,GNQ,2021-05-03,,,,,4519.0,,,,3117.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
Anguilla,AIA,2021-09-10,18481.0,9493.0,8988.0,,1.0,122.19,62.76,59.42,66.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Latvia,LVA,2021-06-22,1067348.0,608155.0,506969.0,10265.0,11600.0,57.17,32.58,27.16,6213.0,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Jordan,JOR,2021-07-05,4053724.0,2568752.0,1484972.0,58536.0,62247.0,39.48,25.01,14.46,6062.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Thailand,THA,2022-01-10,107978454.0,51663833.0,47155401.0,522935.0,395063.0,154.36,73.86,67.41,5648.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/covid19-dashboard/
Czechia,CZE,2021-05-13,4051814.0,2966732.0,1107141.0,91735.0,68994.0,37.78,27.66,10.32,6433.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Mongolia,MNG,2021-12-05,4414941.0,2261533.0,2153408.0,245.0,741.0,132.61,67.93,64.68,223.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
San Marino,SMR,2022-02-03,,,,,126.0,,,,3705.0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/
Ireland,IRL,2021-07-04,4661004.0,2720092.0,2030053.0,54240.0,53438.0,93.54,54.59,40.74,10724.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Uganda,UGA,2021-07-17,,,,,1411.0,,,,30.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Austria,AUT,2021-09-09,,,,,13046.0,,,,1443.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Trinidad and Tobago,TTO,2022-03-01,1525728.0,741641.0,703141.0,1136.0,1238.0,108.72,52.85,50.1,882.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query
Bulgaria,BGR,2021-03-31,472443.0,377440.0,95003.0,13712.0,10162.0,6.85,5.47,1.38,1473.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Ecuador,ECU,2021-07-20,9716252.0,7693781.0,2022471.0,313330.0,349062.0,54.32,43.01,11.31,19513.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
Myanmar,MMR,2021-10-20,,,,,298300.0,,,,5443.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://mohs.gov.mm/page/18035
Japan,JPN,2021-12-27,199340742.0,100309183.0,98563022.0,,75818.0,158.14,79.58,78.19,601.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
